sdv_game_id,season,game_date,sdv_home_team,sdv_away_team,home_team_id,away_team_id,matchup
401359911,2022,2021-10-30,MIN,DEN,18,,DEN@MIN
401359915,2022,2021-10-31,MIL,UTAH,17,,UTAH@MIL
401359919,2022,2021-11-01,IND,SA,12,,SA@IND
401359921,2022,2021-11-01,ATL,WSH,1,,WSH@ATL
401359923,2022,2021-11-01,NY,TOR,,28,TOR@NY
401359924,2022,2021-11-01,MEM,DEN,15,,DEN@MEM
401359929,2022,2021-11-02,UTAH,SAC,,26,SAC@UTAH
401359930,2022,2021-11-02,PHX,NO,24,,NO@PHX
401359933,2022,2021-11-03,IND,NY,12,,NY@IND
401359936,2022,2021-11-03,WSH,TOR,,28,TOR@WSH
401359938,2022,2021-11-03,MEM,DEN,15,,DEN@MEM
401359940,2022,2021-11-03,SA,DAL,,7,DAL@SA
401359941,2022,2021-11-03,GS,CHA,,4,CHA@GS
401359942,2022,2021-11-03,SAC,NO,26,,NO@SAC
401359944,2022,2021-11-04,ATL,UTAH,1,,UTAH@ATL
401359949,2022,2021-11-05,ORL,SA,22,,SA@ORL
401359950,2022,2021-11-05,WSH,MEM,,15,MEM@WSH
401359952,2022,2021-11-05,MIL,NY,17,,NY@MIL
401359954,2022,2021-11-05,GS,NO,,,NO@GS
401359957,2022,2021-11-06,DEN,HOU,,11,HOU@DEN
401359958,2022,2021-11-06,MIA,UTAH,16,,UTAH@MIA
401359964,2022,2021-11-07,NY,CLE,,6,CLE@NY
401359965,2022,2021-11-07,ORL,UTAH,22,,UTAH@ORL
401359966,2022,2021-11-07,WSH,MIL,,17,MIL@WSH
401359968,2022,2021-11-07,OKC,SA,21,,SA@OKC
401359969,2022,2021-11-07,GS,HOU,,11,HOU@GS
401359971,2022,2021-11-08,PHI,NY,23,,NY@PHI
401359974,2022,2021-11-08,DAL,NO,7,,NO@DAL
401359975,2022,2021-11-08,DEN,MIA,,16,MIA@DEN
401359976,2022,2021-11-08,GS,ATL,,1,ATL@GS
401359980,2022,2021-11-09,UTAH,ATL,,1,ATL@UTAH
401359982,2022,2021-11-10,CLE,WSH,6,,WSH@CLE
401359985,2022,2021-11-10,NY,MIL,,17,MIL@NY
401359989,2022,2021-11-10,NO,OKC,,21,OKC@NO
401359990,2022,2021-11-10,SA,SAC,,26,SAC@SA
401359991,2022,2021-11-10,DEN,IND,,12,IND@DEN
401359993,2022,2021-11-10,GS,MIN,,18,MIN@GS
401359996,2022,2021-11-11,UTAH,IND,,12,IND@UTAH
401359998,2022,2021-11-12,CHA,NY,4,,NY@CHA
401360003,2022,2021-11-12,NO,BKN,,3,BKN@NO
401360005,2022,2021-11-12,SA,DAL,,7,DAL@SA
401360006,2022,2021-11-12,DEN,ATL,,1,ATL@DEN
401360007,2022,2021-11-12,GS,CHI,,5,CHI@GS
401360009,2022,2021-11-13,UTAH,MIA,,16,MIA@UTAH
401360011,2022,2021-11-13,ORL,WSH,22,,WSH@ORL
